Country,Happiness_Index_2018,Happiness_Index_2010,CHANGE
Burundi,2.904500008,3.677524567,-0.773024559
Central African Republic,3.082999945,3.567894936,-0.484894991
South Sudan,3.254199982,4.19,-0.935800018
Tanzania,3.303499937,3.669239521,-0.365739584
Yemen,3.354899883,4.578677416,-1.223777533
Rwanda,3.40809989,4.195780277,-0.787680387
Syria,3.461899996,4.862595081,-1.400695086
Liberia,3.495399952,4.208724737,-0.713324785
Haiti,3.582000017,3.805927753,-0.223927736
Malawi,3.586800098,5.148276806,-1.561476707
