Country,Happiness_Index_2018,Happiness_Index_2010,CHANGE
Finland,7.632100105,7.53207016,0.100029945
Norway,7.593699932,7.63227272,-0.038572788
Denmark,7.555300236,7.808485031,-0.253184795
Iceland,7.495200157,6.888258457,0.6069417
Switzerland,7.487299919,7.524508953,-0.037209034
Netherlands,7.441299915,7.56640625,-0.125106335
Canada,7.328499794,7.541295052,-0.212795258
New Zealand,7.323800087,7.302305222,0.021494865
Sweden,7.314499855,7.426207066,-0.111707211
Australia,7.272099972,7.351571083,-0.079471111
