Country,Happiness_Index_2018
Finland,7.632100105
Norway,7.593699932
Denmark,7.555300236
Iceland,7.495200157
Switzerland,7.487299919
Netherlands,7.441299915
Canada,7.328499794
New Zealand,7.323800087
Sweden,7.314499855
Australia,7.272099972
Israel,7.190000057
Austria,7.139400005
Costa Rica,7.071700096
Ireland,6.977099895
Germany,6.964700222
Belgium,6.92689991
Luxembourg,6.909900188
United States,6.886000156
United Kingdom,6.81430006
United Arab Emirates,6.774099827
Czech Republic,6.71089983
Malta,6.626599789
France,6.489299774
Mexico,6.488200188
Chile,6.476200104
Taiwan Province of China,6.440599918
Panama,6.429999828
Brazil,6.418900013
Argentina,6.388000011
Guatemala,6.381899834
Uruguay,6.378799915
Qatar,6.374499798
Saudi Arabia,6.370900154
Singapore,6.343200207
Malaysia,6.322100163
Spain,6.309899807
Colombia,6.260099888
Trinidad and Tobago,6.191899776
Slovakia,6.173399925
El Salvador,6.166800022
Nicaragua,6.140999794
Poland,6.123000145
Bahrain,6.105100155
Uzbekistan,6.096099854
Kuwait,6.083399773
Thailand,6.072299957
Italy,6.000400066
Ecuador,5.973199844
Belize,5.955599785
Lithuania,5.951900005
Slovenia,5.947599888
Romania,5.945199966
Latvia,5.933100224
Japan,5.914999962
Mauritius,5.891499996
Jamaica,5.889800072
South Korea,5.874899864
North Cyprus,5.834799767
Russia,5.809700012
Kazakhstan,5.790100098
Cyprus,5.762499809
Bolivia,5.751900196
Estonia,5.739200115
Paraguay,5.680600166
Peru,5.663199902
Kosovo,5.662099838
Moldova,5.639699936
Turkmenistan,5.636199951
Hungary,5.619999886
Libya,5.565700054
Philippines,5.524099827
Honduras,5.504000187
Belarus,5.483300209
Turkey,5.482500076
Pakistan,5.472499847
Hong Kong S.A.R. of China,5.430399895
Portugal,5.410399914
Serbia,5.398200035
Greece,5.357900143
Tajikistan,5.352499962
Montenegro,5.347499847
Croatia,5.321199894
Dominican Republic,5.301799774
Algeria,5.29460001
Morocco,5.25369978
China,5.245800018
Azerbaijan,5.200600147
Lebanon,5.198900223
Macedonia,5.184800148
Jordan,5.160699844
Nigeria,5.155399799
Kyrgyzstan,5.13079977
Bosnia and Herzegovina,5.129399776
Mongolia,5.124599934
Vietnam,5.103199959
Indonesia,5.092599869
Bhutan,5.082099915
Somaliland region,4.981500149
Cameroon,4.975299835
Bulgaria,4.933100224
Nepal,4.880400181
Venezuela,4.805600166
Gabon,4.758299828
Palestinian Territories,4.743299961
South Africa,4.723999977
Iran,4.706600189
Ivory Coast,4.671199799
Ghana,4.657000065
Senegal,4.631100178
Laos,4.623099804
Tunisia,4.592400074
Albania,4.585999966
Sierra Leone,4.570600033
Congo (Brazzaville),4.558700085
Bangladesh,4.500400066
Sri Lanka,4.470600128
Iraq,4.455599785
Mali,4.447000027
Namibia,4.441299915
Cambodia,4.432600021
Burkina Faso,4.424399853
Egypt,4.419199944
Mozambique,4.416600227
Kenya,4.409699917
Zambia,4.377099991
Mauritania,4.355500221
Ethiopia,4.350200176
Georgia,4.340499878
Armenia,4.320600033
Myanmar,4.307799816
Chad,4.300600052
Congo (Kinshasa),4.244900227
India,4.189799786
Niger,4.165500164
Uganda,4.16079998
Benin,4.14139986
Sudan,4.138700008
Ukraine,4.102900028
Togo,3.998500109
Guinea,3.964099884
Lesotho,3.808199883
Angola,3.794800043
Madagascar,3.773600101
Zimbabwe,3.692300081
Afghanistan,3.631500006
Botswana,3.589799881
Malawi,3.586800098
Haiti,3.582000017
Liberia,3.495399952
Syria,3.461899996
Rwanda,3.40809989
Yemen,3.354899883
Tanzania,3.303499937
South Sudan,3.254199982
Central African Republic,3.082999945
Burundi,2.904500008
