Country,Happiness_Index_2018,Happiness_Index_2010,CHANGE
Finland,7.632100105,7.53207016,0.100029945
Norway,7.593699932,7.63227272,-0.038572788
Denmark,7.555300236,7.808485031,-0.253184795
Iceland,7.495200157,6.888258457,0.6069417
Switzerland,7.487299919,7.524508953,-0.037209034
Netherlands,7.441299915,7.56640625,-0.125106335
Canada,7.328499794,7.541295052,-0.212795258
New Zealand,7.323800087,7.302305222,0.021494865
Sweden,7.314499855,7.426207066,-0.111707211
Australia,7.272099972,7.351571083,-0.079471111
Israel,7.190000057,7.324412823,-0.134412766
Austria,7.139400005,7.262059212,-0.122659206
Costa Rica,7.071700096,7.246940613,-0.175240517
Ireland,6.977099895,7.33975172,-0.362651825
Germany,6.964700222,6.595442295,0.369257927
Belgium,6.92689991,6.985049248,-0.058149338
Luxembourg,6.909900188,7.05080843,-0.140908241
United States,6.886000156,7.200675488,-0.314675331
United Kingdom,6.81430006,6.974144936,-0.159844875
United Arab Emirates,6.774099827,6.982424736,-0.208324909
Czech Republic,6.71089983,6.249612808,0.461287022
Malta,6.626599789,5.959968567,0.666631222
France,6.489299774,6.697425365,-0.208125591
Mexico,6.488200188,6.864696026,-0.376495838
Chile,6.476200104,6.289801121,0.186398983
Taiwan Province of China,6.440599918,5.886962414,0.553637505
Panama,6.429999828,7.095175743,-0.665175915
Brazil,6.418900013,6.842995167,-0.424095154
Argentina,6.388000011,6.275570393,0.112429619
Guatemala,6.381899834,6.385421276,-0.003521442
Uruguay,6.378799915,6.004747868,0.374052048
Qatar,6.374499798,6.561319828,-0.18682003
Saudi Arabia,6.370900154,6.354838848,0.016061306
Singapore,6.343200207,6.507523537,-0.16432333
Malaysia,6.322100163,5.589507103,0.73259306
Spain,6.309899807,6.55787611,-0.247976303
Colombia,6.260099888,6.282635212,-0.022535324
Trinidad and Tobago,6.191899776,6.696484089,-0.504584312
Slovakia,6.173399925,6.052200794,0.121199131
El Salvador,6.166800022,6.258354664,-0.091554642
Nicaragua,6.140999794,5.380557537,0.760442257
Poland,6.123000145,5.847890377,0.275109768
Bahrain,6.105100155,5.816300392,0.288799763
Uzbekistan,6.096099854,5.222326756,0.873773098
Kuwait,6.083399773,6.691923141,-0.608523369
Thailand,6.072299957,5.772617817,0.29968214
Italy,6.000400066,6.489299774,-0.488899708
Ecuador,5.973199844,5.718592644,0.254607201
Lithuania,5.951900005,5.292010307,0.659889698
Slovenia,5.947599888,5.997733116,-0.050133228
Romania,5.945199966,5.138505936,0.806694031
